,SN,Country,Permitted members(Male),Permitted members(Female),Total,Success Sumitter(Male),Success Sumitter(Female),Total
2,1,Albania,0,1,1,0,0,0
3,2,Andorra,2,1,3,2,1,3
4,3,Argentina,11,0,11,6,0,6
5,4,Australia,44,16,60,14,4,18
6,5,Austria,22,6,28,13,3,16
7,6,Azerbaijan,3,0,3,3,0,3
8,7,Bahrain,1,0,1,0,0,0
9,8,Bangladesh,2,0,2,1,0,1
10,9,Belgium,11,1,12,6,0,6
11,10,Brazil,14,2,16,7,1,8
12,11,Bulgaria,7,1,8,7,0,7
13,12,Canada,36,12,48,20,5,25
14,13,Chile,11,1,12,7,0,7
15,14,China,107,55,162,82,42,124
16,15,Colombia,1,0,1,0,0,0
17,16,Croatia,1,0,1,0,0,0
18,17,Cyprus,1,0,1,0,0,0
19,18,Czech Republic,13,3,16,4,1,5
20,19,Denmark,6,0,6,1,0,1
21,20,Dominican Republic,1,0,1,0,0,0
22,21,Ecuador,3,0,3,3,0,3
23,22,Egypt,1,0,1,1,0,1
24,23,Estonia,1,1,2,1,1,2
25,24,Finland,3,0,3,2,0,2
26,25,France,150,46,196,48,13,61
27,26,Georgia,9,0,9,9,0,9
28,27,Germany,99,28,127,35,7,42
29,28,Greece,6,4,10,2,4,6
30,29,Hong Kong,7,1,8,7,1,8
31,30,Hungary,3,3,6,0,0,0
2,31,Iceland,8,1,9,6,1,7
3,32,India,116,23,139,85,15,100
4,33,Ireland,12,4,16,8,2,10
5,34,Islamic Republic of Iran,7,2,9,6,2,8
6,35,Israel,4,2,6,0,1,1
7,36,Italy,72,19,91,22,2,24
8,37,Japan,48,19,67,23,13,36
9,38,Kazakhstan,1,0,1,1,0,1
10,39,"Korea, Republic of",21,0,21,5,0,5
11,40,Kuwait,4,0,4,1,0,1
12,41,Kyrgyz Republic,2,0,2,1,0,1
13,42,Lebanon,6,3,9,4,3,7
14,43,Lithuania,5,0,5,5,0,5
15,44,Macao,1,0,1,0,0,0
16,45,Malaysia,1,1,2,1,0,1
17,46,Mexico,7,5,12,2,3,5
18,47,"Moldova, Republic of",1,0,1,1,0,1
19,48,Nepal,43,12,55,18,12,30
20,49,Netherlands,20,10,30,8,6,14
21,50,New Zealand,13,7,20,5,2,7
22,51,Norway,14,10,24,12,8,20
23,52,Oman,0,1,1,0,1,1
24,53,Pakistan,10,0,10,6,0,6
25,54,Peru,3,1,4,0,1,1
26,55,Philippines,2,1,3,0,0,0
27,56,Poland,63,25,88,15,9,24
28,57,Portugal,5,2,7,1,0,1
29,58,Qatar,2,0,2,2,0,2
30,59,Repb. Of Botswana,0,1,1,0,0,0
31,60,Republic of Kosovo,1,1,2,1,1,2
32,61,Romania,12,4,16,5,3,8
2,62,Russian Federation,37,13,50,21,10,31
3,63,Saudi Arabia,1,1,2,1,1,2
4,64,Serbia,2,0,2,0,0,0
5,65,Singapore,5,1,6,5,0,5
6,66,Slovakia,6,0,6,1,0,1
7,67,Slovenia,10,3,13,1,0,1
8,68,South Africa,1,2,3,0,1,1
9,69,Spain,74,10,84,20,0,20
10,70,Swaziland,5,3,8,2,1,3
11,71,Sweden,12,3,15,4,1,5
12,72,Switzerland,35,22,57,20,9,29
13,73,Syrian Arab Republic,1,0,1,1,0,1
14,74,"Taiwan, Province of China",1,2,3,1,2,3
15,75,Thailand,6,3,9,1,1,2
16,76,Turkey,3,0,3,1,0,1
17,77,U.S.of America,234,43,277,94,13,107
18,78,Ukraine,18,2,20,7,0,7
19,79,United Kingdom,143,29,172,56,13,69
20,80,United Arab Emirates,16,1,17,3,0,3
21,81,Uruguay,1,0,1,1,0,1
22,82,Viet Nam,1,0,1,0,0,0
23,Total,,1692,474,2166,765,220,985
