,SN,Mountains,No_of_member,Royalty(USD),Royalty (NRS)
1,1,Mt. Chamlang (7321m.),12,6000,660970
2,2,Mt. Nuptse (7855m.),27,16200,1787670
3,3,Mt.  Everest (8848m.),397,4058000,449436962.5
4,4,Mt.  Lhotse (8516m.),13,11700,1336230
5,5,Mt.  Saribung (6346m.),112,19060,2132629
6,6,Mt. Amadablam (6814m.),402,159200,18024800
7,7,Mt. Amolsang (6393m.),1,125,14156.25
8,8,Mt. Amphu 1 (6740m.),3,600,67680
9,9,Mt. Annapurna 3 (7555m.),3,900,101655
10,10,Mt. Annapurna I (8091m.),23,41400,4548510
11,11,Mt. Annapurna IV (7525m.),47,7700,4565802
12,12,Mt. Api (7132m.),4,1000,114450
13,13,Mt. Araniko Chuli(6039m.),23,3935,435840.25
14,14,Mt. Ardang (6034m.),4,500,56775
15,15,Mt. Baden Powell Scout Peak (Urkema Peak) 5890m.,2,0,4000
16,16,Mt. Baruntse (7129m.),33,9750,1101487.5
17,17,Mt. Bhrikuti (6476m.),21,2090,235707.5
18,18,Mt. Chamlang (7319m.),7,1750,197587.5
19,19,Mt. Chandi Himal (6096m.),3,375,42525
20,20,Mt. Chhopabamare (6109m.),2,500,57150
21,21,Mt. Chobuje (6685m.),2,800,88880
22,22,Mt. Chukyima Go (6258m.),2,250,28350
23,23,Mt. Danfe Shail (6103m.),3,375,42900
24,24,Mt. Dhawalagiri I (8167m.),36,33300,3827135
25,25,Mt. Gandharva Chuli (6248m.),1,125,14287.5
1,26,Mt. Gangapurna (7140),9,2250,254350
2,27,Mt. Gaugiri (6110m.),25,5000,563031.25
3,28,Mt. Gyalzen Peak(6151m.),6,0,24000
4,29,Mt. Himjung (7092m.),4,2000,219975
5,30,Mt. Himlung (7126m.),121,36750,4126984.5
6,31,Mt. Hongde (6456m.),6,1200,136440
7,32,Mt. Hongu (Sura Peak),1,200,22750
8,33,Mt. Hunku Chuli (6833m.),2,400,45240
9,34,Mt. Kanchanjunga  (8586m.),34,57600,6353210
10,35,Mt. Kangbachen (7903m.),2,1200,132480
11,36,Mt. Khang Karpo (6646m.),2,400,45420
12,37,Mt. Khangchung ( 6063m.),2,250,28250
13,38,Mt. Khangtega (6783m.),2,400,45260
14,39,Mt. Kumbhakarna ( 7710m.),6,2700,309015
15,40,Mt. Lachama Chuli (6721m.),11,4400,490380
16,41,Mt. Langju Peak (6426m.),2,250,28237.5
17,42,Mt. Langtang Lirung (7234m.),2,1000,110700
18,43,Mt. Langtang Ri (7205m.),5,1250,142975
19,44,Mt. Lhotse (8516m.),98,174900,19359855
20,45,Mt. Linku Chuli (6659m.),5,1000,113800
21,46,Mt. Lubula (6899m.),14,2800,316960
22,47,Mt. Makalu (8463m.),59,100000,11061940.32
23,48,Mt. Manaslu (8163m.),270,237800,27315400
24,49,Mt. Mansail (6242m.),17,1550,172470
25,50,Mt. Mukot Himal (6087m.),30,5250,587131
26,51,Mt. Mustang Himal (6195m.),15,2130,235942.5
27,52,Mt. Nemjung (7139m.),11,2750,312512.5
1,53,Mt. Norbu Kang (6005m.),7,875,99750
2,54,Mt. Nuptse (7855m.),18,8400,940920
3,55,Mt. Panpoche 1 ( 6620m. ),8,1600,184460
4,56,Mt. Panpoche II (6504m. ),3,600,69210
5,57,Mt. Pasang Lhamu (7351m.),4,2000,219700
6,58,Mt. Pokhar khang (6348m.),13,1625,185331.25
7,59,Mt. Pumori (7161m),11,5500,604175
8,60,Mt. Putha Hiunchuli (7246m.),36,10250,1551750
9,61,Mt. Ratna Chulim (7128m.),5,2500,277875
10,62,"Mt. Sherson (Peak 3, 6422m.)",2,250,28250
11,63,Mt. Shey Shikhar (6139m.),8,560,61684
12,64,Mt. Tengi Ragi Tau (6943m.),8,1600,181790
13,65,Mt. Tengkangpoche (6482m.),7,875,99468.75
14,66,Mt. Tengkoma (6215m.),4,500,56625
15,67,Mt. Thakar Go East (6152m.),4,500,56650
16,68,Mt. Thapa Peak (6012m.),89,11750,1328650
17,69,Mt. Thorang Peak (6144m.),40,6250,702706.25
18,70,Mt. Tilicho Peak (7134m.),4,1000,113400
19,71,Mt. Tobsar Peak (6100m.),2,250,28337.5
20,Grand total,,2217,5077950,568269582.3
