,Month,2011,2012,2013,2014,2015,2016,2017,2019,2019
1,January,2827,8678,3608,6169,6942,2835,18354,12988,19168
2,February,3478,4263,3213,5900,6215,3580,10577,11107,12041
3,March,4737,3275,11693,6425,7932,5190,9721,18986,17059
4,April,3753,63266,73041,70267,77614,24975,13497,16909,11643
5,May,8386,6099,19144,10092,8595,24233,16677,11829,23377
6,June,4889,4222,5886,6998,3506,12380,10693,19808,19166
7,July,2691,1713,2186,3393,2873,5127,7055,7544,7844
8,August,2683,2607,3039,4093,1472,4313,3913,7427,8457
9,September,3467,3297,3066,5300,701,5360,6641,8851,8341
10,October,5949,5512,6141,8334,1763,9076,15985,16908,20909
11,November,12778,9022,9024,16142,8109,28280,23233,28629,29568
12,December,8071,8629,10211,11103,4468,8920,19098,31424,27252
13,Total,63709,120583,150252,154216,130262,134269,155444,192410,204825
