,Month,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,January,7613,6591,9371,8397,10300,6970,8846,9714,13619
2,February,17712,20045,17869,17990,17965,19913,23118,19795,25868
3,March,19785,20519,22581,20109,23289,21444,28511,29061,29400
4,April,5666,8295,7101,6879,7953,5245,6092,8023,8650
5,May,1885,1316,3654,2563,740,3106,2639,2707,3228
6,June,1120,1366,3552,2125,204,1585,1392,1979,2390
7,July,2881,2651,3621,2735,1506,2929,2457,2850,3376
8,August,16867,17924,9685,14154,13317,18007,13032,19279,14738
9,September,7915,7955,7351,8067,4461,10941,8701,12095,8627
10,October,14892,13099,13610,16458,10860,15568,16596,18218,18577
11,November,20000,21740,16483,21111,22136,19094,19041,27292,26772
12,December,11923,14566,10618,12793,16449,11451,15389,18167,17838
13,total,128259,136067,125496,133308,129180,136253,145814,169180,173083
