,S.N,Nationality,Shrawan,Bhadra,Ashoj,Kartik,Mangsir,Paush,Magh,Falgun,Chaitra,Baisakh,Jestha,Ashad,Total
1,1,Algerian,0,0,0,0,0,0,0,0,1,0,0,0,1
2,2,AMERICAN,2,2,4,5,9,0,3,4,3,9,3,1,45
3,3,AUSTRIA,0,0,0,0,0,0,0,0,1,0,1,0,2
4,4,ARGENTINA,0,0,0,0,0,0,0,0,4,0,0,0,4
5,5,AUSTRALIAN,3,0,8,10,7,3,2,3,3,4,3,1,47
6,7,BANGLADESH,0,3,2,0,1,3,1,0,3,3,0,3,19
7,8,BELGIUM,0,1,0,1,0,1,2,0,0,3,0,0,8
8,11,BRAZILIAN,0,0,0,1,0,0,0,0,0,1,0,0,2
9,12,BRITISH,3,0,3,2,7,3,2,3,4,5,4,2,38
10,13,BHUTANESE,0,0,1,0,0,0,0,,0,0,0,1,2
11,14,CANADIAN,1,0,1,1,4,0,2,3,2,0,1,1,16
12,15,CHINESE,15,5,8,12,4,12,5,,6,7,4,6,84
13,16,CHILI,0,0,0,0,0,0,0,1,0,0,1,0,2
14,18,Congo,1,0,0,0,0,0,0,0,0,0,0,0,1
15,20,CZECH  REPUBLIC,0,0,0,1,0,0,0,0,0,1,14,0,16
16,21,DANISH,0,0,0,0,0,0,0,0,2,0,1,1,4
17,23,ESTONIA,0,0,0,0,0,0,1,0,0,0,0,0,1
18,24,Egyptian,0,0,0,0,0,1,0,0,0,0,0,0,1
19,25,FRENCH,0,3,3,8,5,3,0,1,4,4,4,0,35
20,26,Filipinos',0,0,0,0,0,0,1,0,0,0,0,0,1
21,27,FINNISH,1,0,0,0,0,2,0,0,0,0,0,0,3
22,28,Georgia,0,0,0,0,0,0,0,1,0,0,0,0,1
23,29,GERMAN,0,4,5,5,1,1,3,0,0,6,3,0,28
1,31,Guatemala,0,0,0,0,0,0,1,0,0,0,0,0,1
2,32,GUINEA,1,0,1,0,1,0,0,0,0,0,0,0,3
3,34,INDIAN,5,1,3,1,4,6,2,2,6,0,9,10,49
4,35,INDONESIAN,1,0,0,0,1,0,1,0,0,1,0,0,4
5,36,IRELAND,0,0,1,0,0,1,0,0,0,0,1,0,3
6,38,IRANIAN,1,0,0,0,0,0,0,0,0,0,0,0,1
7,39,ISRAELI,0,1,1,2,1,5,0,1,3,4,0,0,18
8,40,ITALIAN,1,1,1,4,1,0,1,0,1,1,0,0,11
9,41,IVORY COAST,1,0,0,0,1,0,0,0,0,0,0,0,2
10,42,JAPANESE,1,3,5,2,2,4,2,4,3,4,2,0,32
11,44,KOREAN,1,1,0,0,1,0,1,2,2,2,1,0,11
12,46,LEBANON,0,0,0,0,0,0,0,0,0,0,0,1,1
13,47,LITHUANIAN,1,0,0,0,0,0,0,0,0,0,0,0,1
14,48,HONG KONG,0,0,0,1,0,0,0,0,0,2,0,0,3
15,49,MALAYSIAN,0,3,0,3,0,0,0,0,2,2,0,0,10
16,52,MOLDOVA,1,0,0,0,0,0,0,0,0,0,0,0,1
17,54,Netherland,5,3,2,5,1,3,3,1,2,6,0,0,31
18,56,NEW ZELAND,0,1,0,2,0,1,0,0,1,2,1,0,8
19,57,NORWEGIAN,0,0,0,0,0,0,0,2,0,2,0,0,4
20,58,PAKISTANI,0,0,2,0,0,0,1,0,0,3,0,0,6
21,59,PORTUGAL,1,0,0,0,0,0,0,0,0,0,0,0,1
22,60,PHILIPPINES,0,0,0,0,0,0,0,0,0,0,0,1,1
23,61,POLAND,0,0,0,1,0,1,0,0,1,0,0,0,3
24,63,PORTUGUESE,0,0,0,1,0,0,0,0,0,0,0,0,1
25,64,ROMANI,0,0,1,0,0,0,0,1,1,0,0,2,5
1,65,RUSSIAN,0,0,2,1,0,0,0,0,0,1,0,0,4
2,66,SAUDI,0,0,0,0,0,1,0,1,0,0,0,0,2
3,67,SERESS,0,0,1,0,0,0,0,0,0,0,0,0,1
4,68,SENEGAL,0,1,0,0,0,0,0,0,0,0,0,0,1
5,69,SRILANKA,0,0,3,0,0,0,0,0,0,0,0,0,3
6,70,SINGAPOREAN,1,0,0,2,2,1,0,2,0,1,0,0,9
7,71,SPANISH,2,2,4,6,1,0,2,0,3,1,0,1,22
8,74,SWEDEN,0,0,0,0,0,0,0,0,0,2,0,0,2
9,75,SWISS,1,0,0,2,0,0,1,0,0,2,0,0,6
10,76,TAIWAN,0,0,1,0,0,0,0,0,0,0,1,0,2
11,78,THAILAND,0,0,0,0,0,0,0,0,0,0,1,0,1
12,80,UZBEKISTAN,0,0,0,0,0,0,0,0,0,1,0,0,1
13,81,UKRAINIAN,0,0,1,1,0,0,0,0,0,2,0,0,4
14,84,YEMEN,0,0,1,0,0,1,0,0,0,0,0,1,3
15,totaL,,50,35,65,80,54,53,37,32,58,82,55,32,633
