,Conservation  Area,Shrawan,Bhadra,aswin,Kartik,Mansir,Paush,Magh,Fagun,Chaitra,Baisakh,Jesth,asar,total
1,Shivapuri Nagarjun National Park,740,885,1371,1943,1160,842,758,926,1341,1243,718,569,12496
2,Chitwan National Park,7528,6603,11329,19308,13293,11356,9747,12403,16230,16098,12421,6170,142486
3,Sagarmatha National Park,426,1148,11399,12987,4102,2244,1178,2854,8207,10054,2350,340,57289
4,Bardiya National Park,80,144,711,1467,908,494,251,918,1499,1149,446,193,8260
5,Langtang National Park,192,391,1553,2314,746,737,312,1064,1918,1639,544,722,12132
6,Makalu Barun National Park,2,15,393,837,73,11,5,18,262,339,102,0,2057
7,Rara National Park,9,6,70,123,34,15,4,14,37,37,41,31,421
8,Khaptad National Park,0,2,8,15,3,7,0,1,4,6,16,5,67
9,Banke National Park,0,0,0,0,3,0,0,0,4,4,0,1,12
10,Shey Phoksundo National Park,56,46,164,190,13,0,0,0,10,60,32,7,578
11,Shukla Phata Wildlife Reserve,0,0,0,37,42,27,18,59,42,53,35,16,329
12,Parsa Wildlife Reserve,0,0,2,3,6,1,0,0,0,3,0,0,15
13,Koshi Tappu Wildlife Reserve,12,0,13,42,51,29,36,67,83,22,25,8,388
14,Dhorpatan Hunting Reserve,0,6,20,18,0,0,5,4,232,63,76,0,424
15,Apinappa Consersation Area,0,0,8,6,5,0,0,11,0,4,4,0,38
16,Krishnasar Conservation ARea,0,4,6,7,1,4,5,3,3,0,3,1,37
17,Kanchanjunga Conservation Area,0,17,234,297,19,11,0,34,75,119,0,0,806
18,Annapurna Conservation Area,6379,8619,29218,25683,10620,7763,6696,12098,26282,25304,15418,7666,181746
19,Manaslu Conservation Area,53,372,2301,2135,255,46,35,367,1302,692,80,17,7655
20,Gaurishankar Conservation Area,33,124,538,669,218,69,80,199,242,266,49,41,2528
21,total,15510,18382,59338,68081,31552,23656,19130,31040,57773,57155,32360,15787,429764
