,S.N,Peak,Group,Pax,Royalty (US$)
1,1,Chola tse,13,42,"5,768.00"
2,2,Kyazo Ri,17,56,"9,143.00"
3,3,Pharilapcha,-,-,-
4,4,Nirekha,8,22,"4,195.00"
5,5,Langsisa Ri,3,11,"1,625.00"
6,6,Ombigaichen,1,1,250.00
7,7,Bokta,1,4,"1,000.00"
8,8,Chekigo,-,-,-
9,9,Lobuje West,22,94,"16,071.00"
10,10,Laarkya,15,54,"8,125.00"
11,11,ABI,1,12,"1,500.00"
12,12,Yubra Himal,-,-,-
13,13,Singu Chuli,2,2,400.00
14,14,Hiunchuli,1,2,500.00
15,15,Mera,427,1728,"285,055.00"
16,16,Kusum Kanguru,1,2,250.00
17,17,Kwangde,1,2,250.00
18,18,Chulu West,35,73,"12,398.00"
19,19,Chulu East,47,118,"25,789.00"
20,20,Imja Tse (Island),713,2639,"455,977.00"
21,21,Phaarchamo,36,130,"17,588.00"
22,22,Lobuje,264,966,"186,180.00"
23,23,Ramdung,3,7,786.00
24,24,Pisang,13,22,"3,475.00"
25,25,Ganjala Chuli (Naya Khang),8,49,"5,410.00"
26,26,Khongma  Tse (Mehara),-,-,-
27,27,Paldor,1,1,250.00
28,,Total,1633,6037,"1,041,985.00"
