,SN,Course/Training,2067/68,2068/69,2069/70,2070/71,2071/72,2072/73,2073/74,2074/75,2075/76,2076/77
1,1,Master's in Hospitality Management,0,40,28,25,36,39,40,40,33,0
2,2,Bachelor's in Hotel Management,80,120,121,125,168,167,168,167,252,252
3,3,Bachelor's in travel and tourism,81,80,80,84,125,126,126,125,168,168
4,4,Food preparation and control,67,76,72,146,83,80,70,138,162,42
5,5,Beverage Service,24,8,15,33,17,13,9,24,53,0
6,6,House keeping,21,0,0,0,0,0,0,0,0,0
7,7,Front Office,27,0,0,0,0,0,0,0,0,0
8,8,Tourist route guide,181,96,163,312,227,201,174,218,323,26
9,9,Local guide by region,24,35,21,18,11,14,114,148,94,0
10,10,Trekking route guide,953,698,968,1551,1772,435,800,1654,1175,911
11,11,Rafting route guide,72,50,34,44,66,47,85,51,66,34
12,12,Public relations and hospitality Training,141,138,126,221,105,77,171,153,177,149
13,13,Outreach training,360,137,87,133,613,540,436,146,238,45
14,14,Home stay management,142,377,0,66,108,0,0,285,263,164
15,15,Hospitality and food safety standards,0,0,0,0,418,27,0,0,0,0
16,16,Porter guide,0,0,0,0,0,61,101,181,332,193
17,17,Hotel Operation guide,0,0,0,0,0,0,0,0,0,43
18,18,"Hospitality Training for Tourist Vehicle 
Driver",0,0,0,0,0,0,0,0,0,932
19,total,,2173,1855,1715,2758,3749,1827,2294,3330,3336,2959
