,Nationality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Australia,"16,243","19,824","22,030",20469,24516,14816,25507,33371,38429,38972
2,%,2.7,2.7,2.7,3.5,3.1,2.7,3.39,3.55,3.28,3.3
3,Bangladesh,,,,22410,21851,14831,23440,29060,26355,25849
4,%,,,,,,,3.11,3.09,2.25,2.2
5,Canada,"9,322","11,404","13,507",12132,11610,6495,12491,15105,17317,17102
6,%,1.5,1.5,1.7,1.7,1.5,1.2,1.67,1.6,1.48,1.4
7,China,"46,360","61,917","71,861",113173,123805,64675,104005,104664,153633,169543
8,%,7.7,8.4,8.9,12.4,15.7,12,13.81,11.1,13.1,14.2
9,France,"24,550","26,720","28,805",21842,24097,10885,20863,26140,31810,30646
10,%,4.1,3.6,3.6,3.5,3,2,2.27,2.8,2.71,2.6
11,Germany,"22,583","27,472","30,409",22263,18028,12216,23812,29918,36879,36641
12,%,3.7,3.7,3.8,3.5,2.3,2.3,3.16,3.2,3.17,3.1
13,India,"120,898","149,504","165,815",180974,135343,75124,118249,160832,194323,254150
14,%,20.1,20.3,20.6,23.2,17.1,13.9,15.7,17.1,16.57,21.2
15,Italy,"10,226","12,621","14,614",9974,10347,3972,9911,11840,15342,15676
16,%,1.7,1.7,1.8,1.2,1.3,0.7,1.32,1.3,1.31,1.3
17,Japan,"23,332","26,283","28,642",26694,25829,14465,22979,27326,29817,30534
18,%,3.9,3.6,3.6,3.3,3.3,2.7,3.05,2.9,2.54,2.6
1,South Korea,,,,19714,23205,18112,25171,34301,37218,29680
2,%,,,,,,,3.34,3.6,3.17,2.5
3,Malaysia,,,,,,,,,22833,21329
4,%,,,,,,,,,1.95,1.8
5,Myanmar,,,,,,,25796,30852,41402,36274
6,%,,,,,,,3.42,3.3,3.53,3.0
7,Netherlands,"13,471","16,836","15,445",10516,12320,4324,11453,13393,15353,15032
8,%,2.2,2.3,1.9,1.3,1.6,0.8,1.52,1.4,1.31,1.3
9,Spain,"13,712","16,037","14,549",10412,13110,4307,12255,15953,20214,19057
10,%,2.3,2.2,1.8,1.3,1.7,0.8,1.63,1.7,1.72,1.6
11,Sri Lanka,"45,531","59,884","69,476",32736,37546,43117,57521,45361,69640,55869
12,%,7.6,8.1,8.7,4.1,4.8,8,7.64,4.8,5.94,4.7
13,Thailand,,,,40969,33422,32338,26722,39154,52429,41653
14,%,,,,5.1,4.2,6,3.55,4.2,4.47,3.5
15,U.S.A.,"36,425","42,875","48,985",47355,49830,53897,53645,79146,91895,93218
16,%,6,5.8,6.1,5.9,6.3,10,7.12,8.4,7.83,7.8
17,U.K.,"35,091","39,091","41,294",35668,36759,204469,46295,51058,63466,61144
18,%,5.8,5.3,5.1,4.5,4.7,3.8,6.15,5.4,5.41,5.1
19,Others,"168,590","179,158","214,638",78821,218639,171688,119245,174460,,204822
20,%,28.4,26.9,27.2,23.5,27.7,31.9,15.84,18.6,,17.1
21,Total,"602,867","736,215","803,092","797,616","790,118","538,970","753,002","940,218",1173072,1197191
