,Entry Point,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1,"Kakarvitta,  Jhapa",821,559,829,846,590,562,541,513,501,803,882,1033,8480
2,"Birgunj, Parsa",210,136,146,111,61,32,37,58,54,91,112,144,1192
3,"Bhairahawa,  Rupendehi",12446,25427,28772,7336,1524,1114,2183,15453,8855,17109,24796,16381,161396
4,"Nepalgunj,  Banke",61,46,60,52,18,19,31,22,12,57,30,34,442
5,"Dhangadhi,  Kailali",33,17,12,3,5,4,6,2,1,5,12,8,108
6,"Gaddachauki,  Kanchanpur",154,166,324,470,282,193,147,175,246,324,257,238,2976
7,"Timure,  Rasuwa",834,438,680,1474,3693,5345,3878,4712,1973,1891,1186,609,26713
8,total,14559,26789,30823,10292,6173,7269,6823,20935,11642,20280,27275,18447,201307
