,Month,Mustang,Manasalu,Narphu,Tsum Valley,Kanchanjangha,Simikot,Mugu,Dolakha,Lower Dolpa,Upper Dolpa,Sankhuwasabha,Others,Total
1,January,12,25,2,16,11,14,0,0,7,5,6,0,98
2,February,22,89,4,16,14,4,0,0,9,0,6,6,170
3,March,136,921,96,215,105,15,0,2,6,0,15,13,1524
4,April,561,1171,200,250,148,35,2,12,136,37,25,17,2594
5,May,593,254,52,60,36,1942,2,12,73,22,16,0,3062
6,June,114,37,13,12,0,3124,2,3,28,18,0,0,3351
7,July,274,14,28,4,2,902,8,4,56,22,2,9,1325
8,August,462,110,23,19,2,2373,13,0,93,49,0,16,3160
9,September,709,934,165,183,111,215,16,11,507,223,29,18,3121
10,October,856,2515,483,618,482,46,0,59,348,154,66,47,5674
11,total,3739,6070,1066,1393,911,8670,43,103,1263,530,165,126,24079
