,Months,NON SAARC(Free individual trekkers),SAARC(Free individual trekkers),NON SAARC(Group Trekkers),SAARC(Group Trekkers),NON SAARC(Total Trekkers),SAARC(Total Trekkers),All Total
2,January,1594,64,2800,0,4394,64,4458
3,February,2180,58,4800,300,6980,358,7338
4,March,5947,608,11700,4000,17647,4608,22255
5,April,6063,517,13200,4500,19263,5017,24280
6,May,2947,488,5000,5300,7947,5788,13735
7,June,934,417,1500,4000,2434,4417,6851
8,July,965,90,5600,6500,6565,6590,13155
9,August,1400,124,0,0,1400,124,1524
10,September,3505,724,4800,2500,8305,3224,11529
11,October,5965,421,8000,0,13965,421,14386
12,November,6343,1841,26600,8500,32943,10341,43284
13,December,2056,891,5800,0,7856,891,8747
14,Total,39899,6243,89800,35600,129699,41843,171542
